name	balance	scorumpower	posting_rewards_sp	curation_rewards_sp	post_count	comment_count	
alfiestyle	584.284484222 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
alfredopalermi	672.034177780 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
aliarse	399.490000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
aliencs	1471.744444440 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
alikhitamrit	29.597681451 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
alizali	107.537777780 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
alkazizhabbash12	89.269639667 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
alking1234	3700.553566670 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
alparrella	112.605102600 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
alraheeb1670	0.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
altermind	139.978993290 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
altherm88040405	22.190279690 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
alyyoussef	725.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
amansinghal2202	112.148888890 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
amarch	402.829354427 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
amashkoor	4910.146666670 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
amb	211.261190000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
ambrosinonicola	174.700500000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
amemarusya	0.000000000 SCR	1046.666666666 SP	0.000000000 SP	0.000000000 SP	0	0	
amer1400	104.790037110 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
amerts	1267.928733600 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
amidgo	187.122222220 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
amit109	0.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
amitgupti	1472.177777780 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
amitomar63	518.472666340 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
amitsmarty	109.809444440 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
amityada958	116.599000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
amnesiabit1	0.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
amoakoatta5	748.459794280 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
amolkatkar	896.750000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
amongsully	144.839039830 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
amoody113	270.893011111 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
amplus609	871.716707120 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
ananasfafa	460.454847541 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
anand9090	61.646305108 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
anandradia281	673.660644662 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
ancilcleetus	0.000000000 SCR	1046.666666666 SP	0.000000000 SP	0.000000000 SP	0	0	
andelar	0.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
andersanders08	172.668222220 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
anderson	0.000000000 SCR	105005.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
andr34ton1olo	403.117661201 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
andrea1983	51.309070540 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
andrebravo	109.300000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
andregorbachev	13.360000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
andrepina	0.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
andreroque	74.997262725 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
andrew	23.214986670 SCR	1046.666666666 SP	0.000000000 SP	0.000000000 SP	0	0	
andrew1975	0.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
andrewlynch4	0.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
andrewww	0.000000000 SCR	1046.666666666 SP	0.000000000 SP	0.000000000 SP	0	0	
andrey9z1	217.321666670 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
androtoken	98.995248570 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
andrus	2380.700000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
andrydvt	65.808159280 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
andy0227	0.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
andyjack90	755.588786366 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
andyleenz	510.893333330 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
anenddsinnghh	91.628474164 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
angelojedi83	1176.855555556 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
angie	19.715317630 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
angryparakeet	406.487733330 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
anhbloginc	0.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
anicop	1508.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
anikur93	91.215833330 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
anish1983	1354.948603480 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
annabrunamusiu	91.947333330 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
annasidorova	7000.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
annexia	979.916440035 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
anpaladino	315.995600000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
ansteadm	671.940000002 SCR	1046.666666666 SP	0.000000000 SP	0.000000000 SP	0	0	
answervinod	116.698000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
anthoniabquist63	559.405306107 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
anthony666	126.318217320 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
antomatro1	90.521596240 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
antonio1984	1069.083242214 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
antonio90	241.757208650 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
antontottmar	175.452098060 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
antonycash	126.707280000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
antonycrypto10	1043.622222220 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
antonyy68	577.218455028 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
anubis	100.045917980 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
anudogra	462.037882577 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
anup24	504.907333360 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
anvar0750	99.932499999 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
anze300	242.085716400 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
aquila77	150.239885717 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
arberxhelili	169.106966230 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
arca	653.802000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
arcigia	826.830000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
arcircle365	1889.785333330 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
ardwhite1234	1174.317266668 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
arianne1971	502.099591020 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
ariesjon1804	210.724000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
arilandau	5376.465528560 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
arin3187	889.108500000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
aripoff	51.708996820 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
arkchoong	239.487300000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
arkintea	43.442987760 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
arkon	88.872000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
arman73	1431.466666670 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
armandusimov	151.153800000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
arnasvv	587.515555560 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
arnold	169.491944446 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
arouna159herveun	154.933333330 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
arpit93	1272.080000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
arr3267	199.159351970 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
arrowcode	138.012142820 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
arsenio29	35.200000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
arshad	405.721900000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
arshaq	314.922000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
artemix	200.224111110 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
arturiooo	68.131622222 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
arung812	111.313101333 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
asianaceb81	55.565238670 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
asingaraju	600.239169647 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
asish4434	136.623145120 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
asrbit	274.506380000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
astronaut98	849.653864170 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
atomyg	223.395555560 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
atrigubov	0.000000000 SCR	1046.666666666 SP	0.000000000 SP	0.000000000 SP	0	0	
atulpotdukhe	96.911033330 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
atyron3	36.020949490 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
augusten0810	1975.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
ava888	1498.887777782 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
avicofund	107.445555560 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
avorobyov	3077.179359710 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
avti	559.436000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
awadmm	49.516351300 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
awd2	6000.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
aydin	652.895985999 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
ayhaah	157.117500000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
aymananwar48	164.930322220 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
ayodejisamuel	65.679311110 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
aypuct	119.820444440 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
ayrton80	200.023446670 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
ayuang	487.029548524 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
aza5594	747.533639000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
azalbanez	343.211570477 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
aziz1900	218.748164250 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
azizamine61	1042.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
azmatik	90.854608130 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
azninvasion336	295.804444447 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
azrael42	224.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
azufaifo	617.131777778 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
baaluo	762.235700000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
babbooreddy	0.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
